,gb_smid,stationname,brandname,stationalias,address,cross2,cityshort,dma,state,postalcode,lat,long,has_fuel,has_power,has_diesel,has_fuel_update_date,has_power_update_date,has_diesel_update_date,avgprice,price_groups,avg_wait_time,avg_wait_time_grp,wait_observed_time,observed_date
2163,134473,Road Runner,,,3547 W Airline Hwy  Reserve,Central Ave,Reserve,New Orleans,LA,70084,30.076918562511,-90.55261015892,N,N,Y,2021-08-31 02:34:02.978,2021-08-31 02:34:02.978,,,0.0,1.55,1,2021-09-09 21:00:00.000,2021-09-10 19:23:01.000
2164,134560,Valero,Valero,DV Express,100 Central Ave,River Rd,Reserve,New Orleans,LA,70084,30.053879373845,-90.551247596741,N,N,N,2021-09-01 01:32:13.586,2021-09-01 01:32:14.111,2021-09-01 01:32:13.870,,0.0,1.0,1,2021-09-09 18:00:00.000,2021-09-10 19:23:01.000
2165,158171,Marathon,Marathon,Reserve Truck Stop,4450 W Airline Hwy,Terre Haute Rd,Reserve,New Orleans,LA,70084,30.076967,-90.588455,Y,N,Y,2021-09-06 20:59:25.594,2021-09-06 20:59:25.594,2021-09-03 23:02:40.490,,0.0,15.73,2,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2166,117911,Exxon,Popingo's,Popingo's  11,10493 LA-70 W,Frontage St,St. James,New Orleans,LA,70086,30.094680029463,-90.929642915726,N,Y,Y,2021-09-04 13:50:57.157,,,,0.0,2.27,1,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
2167,56162,Shell,Shell,24 & 7 Truck Stop,10326 Airline Hwy,Riverbend Dr,St Rose,New Orleans,LA,70087,29.976863693189,-90.291325449944,N,N,N,2021-08-31 22:34:23.027,2021-08-31 22:34:24.737,2021-08-31 22:34:24.094,,0.0,0.94,1,2021-09-09 16:00:00.000,2021-09-10 19:23:01.000
2168,129873,Marathon,Marathon,,7532 E Judge Perez Dr,South Lake Blvd,Violet,New Orleans,LA,70092,29.87975073805,-89.877465963364,Y,Y,N,2021-09-06 16:42:17.512,2021-09-06 16:42:22.557,2021-09-06 16:42:18.757,,0.0,0.18,1,2021-09-09 21:00:00.000,2021-09-10 19:23:01.000
2169,111809,Quick Check,,,5815 E Judge Perez Dr,Oak Dr,Violet,New Orleans,LA,70092-3038,29.909812,-89.896133,Y,Y,Y,2021-09-05 18:58:09.368,2021-09-05 18:57:55.751,,,0.0,1.28,1,2021-09-08 22:00:00.000,2021-09-10 19:23:01.000
2170,50686,Shell,Shell,,2901 US-90,S Jamie Blvd,Avondale,New Orleans,LA,70094,29.909565,-90.20374,N,N,Y,2021-09-01 00:05:57.097,2021-09-01 00:05:57.097,,,0.0,1.22,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2171,134871,Discount Zone,,,5405 Veterans Blvd,Green Acres Rd,Metairie,New Orleans,LA,70003,30.006430783137,-90.201305150986,Y,Y,Y,2021-09-09 20:08:51.402,2021-09-09 20:08:51.969,2019-05-29 12:53:10.849,,0.0,18.71,2,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2172,124404,Old Metairie Discount,,,198 Metairie Rd,Fredrichs Ave,Metairie,New Orleans,LA,70005,29.9793274,-90.1252858,N,N,Y,2021-08-31 21:47:38.110,2021-08-31 21:47:38.705,,,0.0,0.99,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
